model,test_id,question,expected_answer,actual_answer,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
baseline_minilm_mistral_v02,1,"I have a computer science background, which master's courses can I apply for?","Based on your Computer Science background, here are Master programs:

  - Computer Science M.Sc.
  - Software Engineering for Industrial Applications M.Eng.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","Based on your computer science background, you can apply for the following master's programs at Hof University:
         1. Computer Science M.Sc.
         2. Applied Research in Computer Science M.Sc.
         3. Artificial Intelligence and Robotics M.Sc.
        
        For detailed program descriptions and application requirements, please refer to the provided context or visit the official website of Hof University.",0.5151515151515152,0.4050632911392405,0.700263261795044,0.700263261795044,0.5784934163093567,0.5277777777777778,0.563438638051351,0.5,0.5,0.0,4.302367687225342
baseline_minilm_mistral_v02,2,What programs are available for business students?,"Based on your Business background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Global Management M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Applied Psychology M.Sc.
  - Marketing Management M.Sc.
  - AI-Driven Supply Chain Management (M.Sc.)

Please verify specific admission requirements before applying.","The following programs are available for business students at Hof University:
         1. Business Administration B.A.: Admission requirements not specified in the context.
         2. Business Law LL.B.: Admission requirements not specified in the context.
         3. Digital Business Management (M.Sc.): Type: Master, Department: Business, Language: German, partly English, Duration: 3 semesters, Campus: Hof, Start: Winter and summer semester, Tuition Fees: none, Eligible Backgrounds: Business Administration, Economics, Information Technology.
         4. Economic Psychology B.Sc.: Type: Bachelor, Department: Business, Language: German, Duration: 7 semesters, Campus: Hof, Start: Winter semester, Tuition Fees: none.
         5. Business Information Systems B.Sc.: Type: Bachelor, Department: Computer Science, Language: German, Duration: 7",0.36697247706422015,0.2280701754385965,0.6685751676559448,0.6685751080513,0.62310791015625,0.6666666666666666,0.46743004322052006,0.6666666666666666,0.41379310344827586,0.0,8.516778945922852
baseline_minilm_mistral_v02,3,"I studied engineering, what bachelor programs can I apply to?","Based on your Engineering background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.","Based on the information given, if you have an academic background in engineering, you can apply to both the Mechanical Engineering M.Eng. and the Engineering Science (international) B.Eng. programs at Hof University. The admission requirements for these programs include meeting the general higher education entrance qualification or equivalent, and proving proficiency in English through tests such as TOEFL or IELTS. There is no tuition fee for any of these programs.",0.2972972972972973,0.20408163265306123,0.47803637385368347,0.47803640365600586,0.5507727861404419,0.6944444444444444,0.3745478947957357,0.19047619047619047,0.17391304347826086,0.0,4.182771444320679
baseline_minilm_mistral_v02,4,"I studied engineering, what Masters programs I can apply?","Based on your Engineering background, here are Master programs:

  - Sustainable Textiles M.Eng.
  - Mechanical Engineering M.Eng.
  - Artificial Intelligence and Robotics M.Sc.
  - Sustainable Water Management and Engineering M.Eng.
  - Digitalization and Innovation M.B.A.
  - Supply Chain Management M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Textile Design M.A.
  - International Project Management M.Eng./M.A.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Composite Materials M.Eng.

Please verify specific admission requirements before applying.","Based on the information given, if you hold an engineering degree, you may consider applying for the following Master's programs at Hof University:

         1. Mechanical Engineering M.Eng.
            Admission Requirements: Not specified in the context.

         2. International Project Management M.Eng./M.A.
            Admission Requirements: General higher education entrance qualification or subject-linked university entrance qualification, University of Applied Sciences entrance qualification or professional qualification; proof of English language proficiency (TOEFL minimum 90 or IELTS 6.5); German language skills, proven by official test score documents - minimum level A1.

         3. Engineering Science (international) B.Eng.
            Admission Requirements: General higher education entrance qualification or subject-linked university entrance qualification, University of Applied Sciences entrance qualification or professional qualification; proof of English language",0.2616822429906542,0.19834710743801653,0.6023234128952026,0.6023234128952026,0.5854725241661072,0.7586206896551724,0.3857569513649776,0.5333333333333333,0.27586206896551724,0.0,8.420374393463135
baseline_minilm_mistral_v02,5,Programs available for economics background?,"Based on your Economics background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","Yes, there are several programs at Hof University with an economic focus. Here they are:
        1. Economic Psychology B.Sc. (Bachelor, Department of Business, German language, no tuition fees)
        2. Economic and Organizational Sociology B.A. (Bachelor, no specific department or language mentioned, admission requirements not given)
        3. Global Management M.A. with modules in Applied Economics and Intercultural Management (Master, course type SU,Ü)
        4. General Management M.B.A. with module in Applied Economics and Intercultural Management (MBA, course type SU,Ü)
        Please note that some details like ECTS points and exam types were missing from your context for these last two programs.",0.4,0.2931034482758621,0.5726703405380249,0.5726703405380249,0.5889943838119507,0.66,0.38976132259368895,0.6111111111111112,0.5238095238095238,0.0,7.122873783111572
baseline_minilm_mistral_v02,6,"I have a law background, what can I study?","Based on your Law background, here are programs:

Bachelor Programs:
  - Business Law LL.B.

Master's Programs:
  - Human Resource Management and Labour Law LL.M./M.A.

Please verify specific admission requirements before applying.","Based on your law background, you could consider studying the following programs at Hof University:
         1. Business Law LL.B.: This is a bachelor program offered by the Business Department in German language with no tuition fees. It lasts for 7 semesters and starts during the winter semester.
         2. Human Resource Management and Labour Law LL.M./M.A.: Although this program doesn't explicitly state it requires a law background, it does include labour law which might be of interest to someone with a legal education. The admission requirements aren't specified in the context.
         3. Global Management M.A., Module: Legal Framework for Global Management: While there's no mention of a specific law degree being required, having a law background may provide an advantage when taking this module within the Global Management M.A. program.
        
         Please note that the availability of these programs and their exact admission requirements should be verified directly",0.35789473684210527,0.24427480916030536,0.7106744647026062,0.7106744050979614,0.5495104789733887,0.7702702702702703,0.2110537999385112,0.8571428571428571,0.7272727272727273,0.0,8.519146919250488
baseline_minilm_mistral_v02,7,"I studied Management, what Masters programs I can apply?","Based on your Management background, here are Master programs:

  - International Project Management M.Eng./M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Marketing Management M.Sc.
  - Global Management M.A.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - General Management M.B.A.
  - Sustainable Water Management and Engineering M.Eng.
  - AI-Driven Supply Chain Management (M.Sc.)
  - Supply Chain Management M.Sc.

Please verify specific admission requirements before applying.","Based on the context you provided, you should consider applying for the following Master's programs at Hof University given your background in Management:
          - Digital Business Management (M.Sc.)
          - International Management B.A.
          - Marketing Management M.Sc.
          - General Management M.B.A.
          - International Project Management M.Eng./M.A.
        
        Please note that some programs may require additional qualifications such as proof of sufficient basic knowledge in economics and information technology or a specific language level. Be sure to check each program's admission requirements carefully before submitting your application.",0.47311827956989244,0.3652173913043478,0.7508949637413025,0.7508949041366577,0.6023756861686707,0.5510204081632653,0.5697457167567039,0.8064516129032258,0.48,0.0,6.111818075180054
baseline_minilm_mistral_v02,8,What programs can psychology students apply for?,"Based on your Psychology background, here are programs:

Bachelor Programs:
  - Economic Psychology B.Sc.

Master's Programs:
  - Applied Psychology M.Sc.

Please verify specific admission requirements before applying.","The given context mentions two programs that psychology students can apply to based on their academic background:

        1. Applied Psychology M.Sc.: This is a master's program offered by the Business Department. It requires a completed bachelor's or diploma degree with a minimum of 210 credits from a German university or an equivalent degree from a foreign university. Preferably, this should be in psychology or an application-related field like business psychology. Students without sufficient foundational knowledge might need to meet additional requirements.

        2. Economic Psychology B.Sc.: This is a bachelor's program also offered by the Business Department. There is no explicit mention of specific prerequisites related to psychology; however, since it falls under the Business umbrella, some familiarity with economic concepts would likely be beneficial.

        Therefore, both the Applied Psychology M.Sc. and Economic Psychology B.",0.32098765432098764,0.13913043478260867,0.8250385522842407,0.8250385522842407,0.6479459404945374,0.7936507936507936,0.22691247236161005,0.6,0.4444444444444444,0.0,8.709977149963379
baseline_minilm_mistral_v02,9,"I have a design background, what master programs are available?","Based on your Design background, here are Master programs:

  - Textile Design M.A.
  - Artificial Intelligence Aided Mobility Design M.A.

Please verify specific admission requirements before applying.","You have mentioned having a design background. Based on the provided context, there is one master program available for individuals with this educational background at Hof University - the Textile Design M.A. This program requires academic qualifications such as a bachelor's degree or its equivalent with a minimum of 210 ECTS points or proof of relevant experience. Additionally, applicants must demonstrate their artistic abilities and suitability for the program via a self-written project proposal and a digital portfolio during a two-step evaluation process. The language requirements include proof of English language proficiency and basic German language skills for international students. Please ensure you meet these prerequisites before applying. For more detailed information about the application procedure, please visit Hof University's official website or contact their admissions office directly.",0.2,0.18181818181818182,0.6034743785858154,0.6034743785858154,0.42914241552352905,0.875,0.1581948757171631,0.8,0.4444444444444444,0.0,7.251097917556763
baseline_minilm_mistral_v02,10,Programs for textile technology students?,"Based on your Textile Technology background, here are programs:

Bachelor Programs:
  - Textile Design B.A.

Master's Programs:
  - Textile Design M.A.

Please verify specific admission requirements before applying.","The following programs may be of interest to textile technology students at Hof University:
         1. Textile Design B.A.: This is an undergraduate program with no tuition fees, taught entirely in English, and lasts four semesters on the Münchberg campus. It focuses on design backgrounds.
         2. Textile Design M.A.: This master's degree program also has no tuition fees, uses English as its language of instruction, and runs for three semesters on the Münchberg campus. It targets individuals from design or architecture backgrounds.
         3. Sustainable Textiles M.Eng.: Offered by the Engineering department, this master's degree program is available in both winter and summer semesters without tuition fees. Students must come from engineering or natural sciences backgrounds. The modules mentioned include 'Effect and Process Auxiliaries' and 'Advanced Textile Production'. However, I couldn't",0.15384615384615383,0.09009009009009009,0.6801784038543701,0.6801784038543701,0.7412667274475098,0.9016393442622951,0.1655438774921855,0.6,0.25,0.0,8.497275829315186
