model,test_id,question,expected_answer,actual_answer,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
baseline_multiqa_mistral_v02,1,"I have a computer science background, which master's courses can I apply for?","Based on your Computer Science background, here are Master programs:

  - Computer Science M.Sc.
  - Software Engineering for Industrial Applications M.Eng.
  - Applied Research in Computer Science M.Sc.
  - Artificial Intelligence and Robotics M.Sc.
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","Based on your computer science background, you can apply for the following master's courses:",0.2631578947368421,0.28571428571428575,0.7451919913291931,0.7451919317245483,0.9157715439796448,0.375,0.6730767726898194,0.08333333333333333,0.05555555555555555,0.0,5.797988653182983
baseline_multiqa_mistral_v02,2,What programs are available for business students?,"Based on your Business background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Global Management M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Applied Psychology M.Sc.
  - Marketing Management M.Sc.
  - AI-Driven Supply Chain Management (M.Sc.)

Please verify specific admission requirements before applying.","The following programs are available for business students: Business Administration B.A., Business Law LL.B., Business Information Systems B.Sc., and Economic and Organizational Sociology B.A. Additionally, there is a Marketing Management M.Sc. program.",0.4722222222222222,0.36363636363636365,0.7856292128562927,0.7856292128562927,0.7027682662010193,0.2608695652173913,0.7577299460120823,0.6,0.3793103448275862,0.0,2.432003974914551
baseline_multiqa_mistral_v02,3,"I studied engineering, what bachelor programs can I apply to?","Based on your Engineering background, here are Bachelor programs:

  - Innovative Textiles B.Eng.
  - Textile Design B.A.
  - Mobile App Development B.Sc.
  - Design and Mobility B.A.
  - Media Informatics B.Sc.
  - Computer Science (B.Sc.)
  - Business Information Systems B.Sc.
  - Environmental Engineering (B.Eng.)
  - Engineering Science (international) B.Eng.
  - Computer Science (International) B.Sc.

Please verify specific admission requirements before applying.","Based on the provided context, you can apply to the following bachelor programs as you have an engineering background:",0.2127659574468085,0.14035087719298245,0.6818467974662781,0.6818468570709229,0.8463191986083984,0.4444444444444444,0.6060720761617024,0.0,0.043478260869565216,0.0,2.2195823192596436
baseline_multiqa_mistral_v02,4,"I studied engineering, what Masters programs I can apply?","Based on your Engineering background, here are Master programs:

  - Sustainable Textiles M.Eng.
  - Mechanical Engineering M.Eng.
  - Artificial Intelligence and Robotics M.Sc.
  - Sustainable Water Management and Engineering M.Eng.
  - Digitalization and Innovation M.B.A.
  - Supply Chain Management M.Sc.
  - Artificial Intelligence Aided Mobility Design M.A.
  - Textile Design M.A.
  - International Project Management M.Eng./M.A.
  - Software Engineering for Industrial Applications M.Eng.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - Composite Materials M.Eng.

Please verify specific admission requirements before applying.","Based on the context provided, you can apply to the ""Software Engineering for Industrial Applications"" M.Eng. program if you have an engineering background. The program includes modules such as ""Software Engineering"", ""Advanced Programming"", ""Project Management"", and a ""Master Thesis"".",0.35135135135135137,0.1728395061728395,0.6792239546775818,0.6792240142822266,0.6350725889205933,0.48,0.5836896057128906,0.26666666666666666,0.3103448275862069,0.0,2.752065420150757
baseline_multiqa_mistral_v02,5,Programs available for economics background?,"Based on your Economics background, here are programs:

Bachelor Programs:
  - Economic and Organizational Sociology B.A.
  - International Management B.A.
  - Business Administration B.A.
  - Business Law LL.B.
  - Business Information Systems B.Sc.
  - Economic Psychology B.Sc.

Master's Programs:
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.

Please verify specific admission requirements before applying.","The following programs have a focus on economics: Economic Psychology B.Sc., Economic and Organizational Sociology B.A., Business Administration B.A., General Management M.B.A. (Module: Applied Economics and Intercultural Management).",0.4482758620689655,0.34920634920634924,0.7744747400283813,0.7744747400283813,0.6895132064819336,0.43478260869565216,0.6489203307939613,0.6666666666666666,0.42857142857142855,0.0,2.4477810859680176
baseline_multiqa_mistral_v02,6,"I have a law background, what can I study?","Based on your Law background, here are programs:

Bachelor Programs:
  - Business Law LL.B.

Master's Programs:
  - Human Resource Management and Labour Law LL.M./M.A.

Please verify specific admission requirements before applying.","Based on your law background, you could consider studying the ""Business Law LL.B."" program which is offered at the Business Department in Hof, takes 7 semesters to complete, and does not have tuition fees. Another option could be the ""Human Resource Management and Labour Law LL.M./M.A."" program if you are interested in specializing in labor law. Both programs are taught in German.",0.4528301886792453,0.28947368421052627,0.6807199716567993,0.6807198524475098,0.6176736950874329,0.625,0.44755914688110354,0.7142857142857143,0.6363636363636364,0.0,3.909825325012207
baseline_multiqa_mistral_v02,7,"I studied Management, what Masters programs I can apply?","Based on your Management background, here are Master programs:

  - International Project Management M.Eng./M.A.
  - Human Resource Management and Labour Law LL.M./M.A.
  - Digital Business Management (M.Sc.)
  - Digitalization and Innovation M.B.A.
  - Marketing Management M.Sc.
  - Global Management M.A.
  - Sustainable Engineering and Project Management  M.B.A. and Eng.
  - General Management M.B.A.
  - Sustainable Water Management and Engineering M.Eng.
  - AI-Driven Supply Chain Management (M.Sc.)
  - Supply Chain Management M.Sc.

Please verify specific admission requirements before applying.","Based on the context provided, you can apply for the Marketing Management M.Sc., International Management B.A., International Project Management M.Eng./M.A., or Global Management M.A. programs. The specific modules you have taken or your academic background are not mentioned in the question, so it's essential to check the detailed admission requirements of each program to ensure eligibility.",0.4210526315789474,0.28888888888888886,0.7909195423126221,0.7909194231033325,0.6052603721618652,0.5,0.616367769241333,0.6774193548387096,0.32,0.0,3.5996053218841553
baseline_multiqa_mistral_v02,8,What programs can psychology students apply for?,"Based on your Psychology background, here are programs:

Bachelor Programs:
  - Economic Psychology B.Sc.

Master's Programs:
  - Applied Psychology M.Sc.

Please verify specific admission requirements before applying.","Psychology students can apply for programs like Economic and Organizational Sociology B.A., Marketing Management M.Sc., and Applied Psychology M.Sc. in the Department of Business at Hof University. However, they should meet the respective admission requirements, including having a completed university degree with an overall grade of 2.5 or better. Students without the necessary background may still be considered if they fulfill a post-qualification requirement.",0.3157894736842105,0.12820512820512822,0.7301942706108093,0.7301942110061646,0.6457538604736328,0.7692307692307693,0.301377456004803,0.8,0.4444444444444444,0.0,4.065008640289307
baseline_multiqa_mistral_v02,9,"I have a design background, what master programs are available?","Based on your Design background, here are Master programs:

  - Textile Design M.A.
  - Artificial Intelligence Aided Mobility Design M.A.

Please verify specific admission requirements before applying.","Based on your design background, you may consider applying for the following master programs:
1. Textile Design M.A. (Engineering Department)
2. Marketing Management M.Sc. (no specific department mentioned in the context)
3. Composite Materials M.Eng. (Engineering Department)
4. International Project Management M.Eng./M.A. (no specific department mentioned in the context)",0.3673469387755102,0.3333333333333333,0.782534658908844,0.7825347185134888,0.5497402548789978,0.7096774193548387,0.43848669221324305,0.6,0.3333333333333333,0.0,5.2917540073394775
baseline_multiqa_mistral_v02,10,Programs for textile technology students?,"Based on your Textile Technology background, here are programs:

Bachelor Programs:
  - Textile Design B.A.

Master's Programs:
  - Textile Design M.A.

Please verify specific admission requirements before applying.","The given context lists modules (Advanced Textile Production, Advanced Textile Chemistry, Effect and Process Auxiliaries) from the Sustainable Textiles M.Eng. program. These are graduate level courses for students interested in advanced study and research in sustainable textile production and chemistry. There is no mention of a Textile Design B.A. program in the context provided.",0.12000000000000001,0.125,0.7146693468093872,0.7146693468093872,0.6659896373748779,0.9090909090909091,0.3063718739422885,0.4,0.25,0.0,3.5797319412231445
